,Classifier,Accuracy
0,Random,0.0025755879059350503
1,Common Neighbours,0.036954087346024636
2,Jaccard,0.03314669652855543
3,"Katz, beta: 0.05",0.03919372900335946
4,"Katz, beta: 0.005",0.05274356103023516
5,"Katz, beta: 0.0005",0.059574468085106386
6,Graph Distance,0.015341545352743562
7,"Rooted page rank, alpha: 0.01",0.03393057110862262
8,"Rooted page rank, alpha: 0.05",0.03381858902575588
9,"Rooted page rank, alpha: 0.15",0.034602463605823065
10,"Rooted page rank, alpha: 0.3",0.035498320268756996
11,"Rooted page rank, alpha: 0.5",0.03661814109742441
12,Simrank,0.0034714445688689807
