,0
0,marinebiology
1,DiscoverEarth
2,whales
3,ShowTheKids
4,megalophobia
5,mongolia
6,thalassophobia
7,TIHI
8,MakeMeSuffer
9,TheDepthsBelow
10,thanksihateit
11,subnautica
12,interesting
13,HumansAreMetal
14,Meetingofthemindz
15,nope
16,soma
17,LiminalSpace
18,ape
19,DemocraticSocialism
20,LateStageCapitalism
21,Corruption
22,conspiracyfact
23,honeybadgerparty
24,CITILOP
25,PostScarcityNow
26,ConspiracyPastPresent
27,leftist
28,DemocraticDiscussions
29,florida
30,anime_titties
31,animalimpact
32,bigcats
33,Eureddision
34,shittyHDR
35,castles
36,chadregions
37,KGBTR
38,Albany
39,2balkan4you
40,OakIsland
41,cruiserboarding
42,worldbuilding
43,fakehistoryporn
44,ancientrome
45,Astuff
46,TwoThousandYearsAgo
47,patient_hackernews
48,serbia
49,mkd
50,monarchism
51,royalhistory
52,ConcentrationOfWealth
53,portugal
54,IvankaTrump
55,TheEndOfHumanityShow
56,sharks
57,GuysPosingWithThings
58,business
59,Franchising
60,johngrillo
61,knowyourshit
62,MarshallBrain
63,AIandRobotics
64,UpliftingNews
65,CoronavirusMa
66,CoronavirusUT
67,UCI
68,DidntKnowIWantedThat
69,Twinnovation
70,vegan
71,fastvoted
72,Jamalbruh
73,canadahousing
74,Philippines
75,deepfatfried
76,Kossacks_for_Sanders
77,fuckcars
78,LeftvsRightDebate
79,sdrawkcabtidder
80,WHHR_PostTrump
81,revolution
82,xrmed
83,karnataka
84,DoomsdayNow
85,wildgardens
86,YouWillSurviveIt
87,solarpunk
88,mildyinteresting
89,PlantBased4ThePlanet
90,andhra_pradesh
91,TigersAreOurFriends
92,IndiaPoliticalBridges
93,Environmental_Policy
94,Kerala
95,kochier
96,KeralaSocial
97,KeralaSpeaks
98,China_irl
99,NuclearPower
100,chonglangTV
101,surfing
102,ABoringDystopia
103,UnfuckTheWorld
104,boringdystopia
105,WayOfTheBern
106,Green
107,Green_News
108,Longreads
109,ClimateAndEnvironment
110,Renewable
111,Sustainable
112,ClimateChangeSolution
113,CleanEnergy
114,climatesolutions
